"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"703","season","predictions","","champs","bucks","finals","","giannis","","giannis","","jalen","green","dpoy","","adebayo","","ricky","rubio","","lonzo","ball","coach","billy","donavan","","","","","","",""
"704","","hakeem","olajuwon","","greatest","basketball","players","time","first","","american","star","","","","","","","","","","","","","","","","","","","",""
"705","","","kareem","made","","first","team","","defensive","first","team","magic","also","playoffs","kareem","averaged","","","","","finals","","","","","","true","finals","","year","",""
"706","draymond","lone","season","without","klay","steph","even","","","","","","game","meanwhile","pippen","","star","game","","","player","league","history","lead","team","every","statistical","category","","twitter","pits","hell"
"707","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"708","","resume","","defensive","team","","","","","star","game","","","star","","gold","medal","","resume","","defensive","team","","","","","star","game","","","star","rookie"
"709","year","","","champion","","finals","","","","","","","","","","","","","","","","","","","","","","","","","",""
"710","","","","","","","","","","","","","","offensive","","","","minutes","","","","","","first","team","","defense","second","team","","league","leader"
"711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"712","westbrook","","","","","","","","","","","","","","","","plus","minus","offensive","","plus","minus","vorp","usage","","assist","","","","team","league","leader"
"713","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"714","hakeem","olajuwon","","","","","","","","","","","","","","","","","","","finals","","campeão","dpoy","","","","","","","",""
"715","pelicans","going","stink","season","plus","predictions","wonderful","colleagues","","","","","","","","","","","","","","","","","","","","","","","",""
"716","marcjspears","","person","gave","lebron","james","finals","","vote","instead","stephen","curry","never","happened","","losing","teams","player","gets","votes","best","player","series","","","","","","","","",""
"717","","","giannis","already","","","career","","back","back","","finals","","","","rare","","care","winning","basketball","games","picking","giannis","","","","","","","","",""
"718","","","","","","","dpoy","fmvp","course","","season","","regular","season","hakeem","averaged","points","rebounds","","assists","probably","best","individual","season","anyone","ever","","","elite","ends","floor",""
"719","lmfaoooo","probably","walked","like","thanasis","trying","","like","","team","","brother","liangelo","forgot","brother","","","champ","","","","","","","","","","","","","",""
"720","iamhdot","rtnba","","slamonline","haha","miss","part","dirk","","","pushed","","wade","finals","remember","correctly","","","","","","","","","","","","","","","",""
"721","giannis","think","just","rest","","trouble","without","kyrie","","","","yeah","wrap","might","well","","giannis's","name","","trophy","right","","","","","","","","","","",""
"722","","bets","","","harden","","zion","","giannis","","","","","","","","","","","","","","","","","","","","","playoffs","",""
"723","three_cone","shai","gilgeous","alexander","","","team","star","","","finalist","","","","","","","","","","","","","","","","","","","","",""
"724","","peak","","greatest","offensive","weapon","ever","unanimous","","","history","holds","single","season","record","","","","higher","every","season","ever","laughable","","","","","","","","",""
"725","peak","","greatest","offensive","weapon","ever","unanimous","","","history","holds","single","season","record","","","","higher","every","season","ever","laughable","","","","","ugxgxoghau","","","","",""
"726","geniuses","","think","scottie","pippen’s","","place","","finish","thirtieth","","greatest","peak","","history","thirty","different","players","","mvps","leagues","seasons","pippen","never","finished","","","voting","","","",""
"727","","peak","","greatest","offensive","weapon","ever","unanimous","","","history","holds","single","season","record","offensive","","","","higher","every","season","ever","absolutely","laughable","","","","","","",""
"728","peak","","greatest","offensive","weapon","ever","unanimous","","","history","holds","single","season","record","offensive","","","","higher","every","season","ever","absolutely","laughable","","","","","","","",""
"729","","maxisnicee","lebron","","ladder","season","started","move","article","","ladder","","games","season","eventually","falling","spot","getting","injured","","","","","","","","","","","","",""
"730","week's","episode","","","","make","","predictions","","jesus","bone","pick","","","stealing","intro","spotify","","","","apple","","","","","","","","","","",""
"731","","talent","aspect","there’s","little","reason","shouldn’t","perennial","","player","finishing","","close","","voting","seasons","prime.similar","physical","profile","giannis","","thrive","similarly","","mental","","","know","","","",""
"732","","russplswin","giannis","","dpoy","fmvp","amvp","multiple","","teams","defensive","teams","just","three","years","","","","","","","","","","","","","","","","",""
"733","","","greatest","shooter","time","greatest","ball","time","underrated","playmaker","unanimous","","","","","","","","","","","","","","","","","","","","",""
"734","","season","predictions","","joel","embiid","","jalen","green","dpoy","rudy","gobert","","derrick","rose","","keldon","johnson","coach","rick","carlisle","","takes","","gets","traded","","gets","traded","memphis","gets",""
"735","west","heat","","bulls","play","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"736","","","superteam","casual","","finals","game","","finals","","finals","","bandwagon","","","","","","","","","","","","","","","","","","",""
"737","without","","cousy","","likely","folds","","adding","","","first","team","","selections","fact","","modern","father","","time","champion","","bare","minimum","joke","","","","","","",""
"738","vince","carter","made","","twice","entire","career","never","made","first","team","","peak","ever","highest","","finish","","like","bruh","hell","","","","","","","","","","",""
"739","tweet","","","","","","","tweeted","","","","taking","winning","finals","","","","","","xfzdrmaufj","","","","","","","","","","","",""
"740","tweet","","","","","","","tweeted","","winning","season","","year","according","","","","","","","","","","","","","","","","","",""
"741","next","","","wears","number","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"742","perk","","","never","finished","","","voting","","time","","defensive","player","year","","champion","finals","","","silly","","","","","","","","","","","",""
"743","bill","russell","","","literally","named","finals","","trophy","somehow","become","underrated","lmao","","","","","","","","","","","","","","","","","","",""
"744","pacers","","twitter","calling","everyone's","","draft","duarte","annointing","duarte","league","","plays","game","","","","","","","","","","","","","","","","","",""
"745","","","","actualizado","","joel","embiid","dame","lillard","dpoy","anthony","davis","giannis","","tyler","herro","drummond","","markelle","fultz","kyle","kuzma","roty","cade","cunningham","josh","guidey","","","","","bulls"
